Headword,In_GSL
mine,Yes
minister,Yes
minute,Yes
miss,Yes
modern,Yes
moment,Yes
money,Yes
month,Yes
more,Yes
moreover,Yes
morning,Yes
most,Yes
mother,Yes
motor,Yes
mountain,Yes
mouth,Yes
move,Yes
much,Yes
music,Yes
must,Yes
my,Yes
name,Yes
narrow,Yes
nation,Yes
native,Yes
nature,Yes
near,Yes
necessary,Yes
neck,Yes
need,Yes
neighbour,Yes
neither,Yes
never,Yes
new,Yes
next,Yes
night,Yes
no,Yes
none,Yes
nor,Yes
north,Yes
not,Yes
note,Yes
nothing,Yes
notice,Yes
now,Yes
nowhere,Yes
number,Yes
object,Yes
observe,Yes
occasion,Yes
off,Yes
offer,Yes
office,Yes
often,Yes
oil,Yes
old,Yes
once,Yes
one,Yes
only,Yes
open,Yes
operation,Yes
opinion,Yes
opportunity,Yes
or,Yes
order,Yes
ordinary,Yes
organize,Yes
other,Yes
otherwise,Yes
ought,Yes
ounce,Yes
our,Yes
out,Yes
over,Yes
owe,Yes
own,Yes
page,Yes
pain,Yes
paint,Yes
paper,Yes
part,Yes
party,Yes
pass,Yes
past,Yes
pay,Yes
peace,Yes
people,Yes
perfect,Yes
perhaps,Yes
permanent,Yes
permit,Yes
person,Yes
picture,Yes
piece,Yes
place,Yes
plan,Yes
plant,Yes
play,Yes
please,Yes
point,Yes
political,Yes
poor,Yes
popular,Yes
population,Yes
position,Yes
possess,Yes
possible,Yes
post,Yes
pound,Yes
poverty,Yes
power,Yes
practical,Yes
prepare,Yes
present,Yes
preserve,Yes
press,Yes
pretty,Yes
prevent,Yes
price,Yes
print,Yes
private,Yes
problem,Yes
produce,Yes
product,Yes
production,Yes
program,Yes
programme,Yes
progress,Yes
promise,Yes
proof,Yes
proper,Yes
propose,Yes
protect,Yes
prove,Yes
provide,Yes
public,Yes
pull,Yes
purpose,Yes
put,Yes
quality,Yes
quarter,Yes
quiet,Yes
quite,Yes
race,Yes
raise,Yes
rank,Yes
rate,Yes
rather,Yes
reach,Yes
read,Yes
ready,Yes
real,Yes
reason,Yes
receive,Yes
recent,Yes
recognize,Yes
record,Yes
red,Yes
reduce,Yes
refuse,Yes
regard,Yes
regular,Yes
relation,Yes
religion,Yes
remain,Yes
remark,Yes
remember,Yes
repeat,Yes
reply,Yes
report,Yes
represent,Yes
respect,Yes
rest,Yes
result,Yes
return,Yes
rich,Yes
ride,Yes
right,Yes
ring,Yes
rise,Yes
river,Yes
road,Yes
roll,Yes
room,Yes
rough,Yes
round,Yes
rule,Yes
ruler,Yes
run,Yes
rush,Yes
safe,Yes
sail,Yes
same,Yes
save,Yes
saw,Yes
say,Yes
scale,Yes
scarce,Yes
scene,Yes
school,Yes
science,Yes
sea,Yes
season,Yes
seat,Yes
second,Yes
secret,Yes
secretary,Yes
see,Yes
seem,Yes
seize,Yes
sell,Yes
send,Yes
sense,Yes
separate,Yes
serious,Yes
serve,Yes
set,Yes
settle,Yes
several,Yes
shadow,Yes
shake,Yes
shall,Yes
shape,Yes
share,Yes
shave,Yes
she,Yes
shine,Yes
shoe,Yes
shoot,Yes
shore,Yes
short,Yes
should,Yes
shoulder,Yes
show,Yes
side,Yes
sight,Yes
sign,Yes
silence,Yes
silver,Yes
simple,Yes
since,Yes
single,Yes
sir,Yes
sister,Yes
sit,Yes
situation,Yes
size,Yes
skill,Yes
sky,Yes
sleep,Yes
slight,Yes
slow,Yes
small,Yes
smile,Yes
so,Yes
society,Yes
soft,Yes
soil,Yes
some,Yes
son,Yes
soon,Yes
sort,Yes
sound,Yes
south,Yes
space,Yes
speak,Yes
special,Yes
speed,Yes
spend,Yes
spirit,Yes
spite,Yes
spot,Yes
spread,Yes
spring,Yes
square,Yes
stage,Yes
stand,Yes
standard,Yes
start,Yes
state,Yes
station,Yes
stay,Yes
steal,Yes
steel,Yes
step,Yes
stick,Yes
still,Yes
stock,Yes
stone,Yes
stop,Yes
store,Yes
storm,Yes
story,Yes
straight,Yes
strange,Yes
stream,Yes
street,Yes
strength,Yes
stretch,Yes
strike,Yes
strong,Yes
struggle,Yes
study,Yes
subject,Yes
substance,Yes
succeed,Yes
such,Yes
sudden,Yes
suffer,Yes
suggest,Yes
summer,Yes
sun,Yes
supply,Yes
support,Yes
suppose,Yes
sure,Yes
surface,Yes
surprise,Yes
surround,Yes
sweet,Yes
system,Yes
table,Yes
take,Yes
talk,Yes
taste,Yes
teach,Yes
tear,Yes
tell,Yes
term,Yes
terrible,Yes
test,Yes
than,Yes
that,Yes
their,Yes
them,Yes
then,Yes
there,Yes
therefore,Yes
these,Yes
they,Yes
thing,Yes
think,Yes
this,Yes
though,Yes
thought,Yes
through,Yes
throw,Yes
thus,Yes
time,Yes
to,Yes
today,Yes
together,Yes
too,Yes
top,Yes
total,Yes
touch,Yes
toward,Yes
town,Yes
trade,Yes
train,Yes
travel,Yes
tree,Yes
trouble,Yes
trust,Yes
truth,Yes
try,Yes
turn,Yes
type,Yes
under,Yes
understand,Yes
union,Yes
unite,Yes
university,Yes
unless,Yes
until,Yes
up,Yes
upon,Yes
use,Yes
usual,Yes
valley,Yes
value,Yes
various,Yes
very,Yes
view,Yes
village,Yes
visit,Yes
voice,Yes
vote,Yes
wait,Yes
walk,Yes
wall,Yes
want,Yes
war,Yes
warn,Yes
waste,Yes
watch,Yes
water,Yes
wave,Yes
way,Yes
we,Yes
weak,Yes
wear,Yes
week,Yes
welcome,Yes
well,Yes
west,Yes
what,Yes
when,Yes
where,Yes
whether,Yes
which,Yes
while,Yes
white,Yes
who,Yes
whose,Yes
why,Yes
wide,Yes
wife,Yes
wild,Yes
will,Yes
win,Yes
wind,Yes
window,Yes
wing,Yes
winter,Yes
wise,Yes
wish,Yes
with,Yes
within,Yes
without,Yes
woman,Yes
wonder,Yes
wood,Yes
word,Yes
work,Yes
world,Yes
worse,Yes
worth,Yes
would,Yes
write,Yes
wrong,Yes
year,Yes
yellow,Yes
yes,Yes
yesterday,Yes
yet,Yes
you,Yes
young,Yes
abroad,Yes
absence,Yes
absolutely,Yes
accident,Yes
accuse,Yes
accustom,Yes
ache,Yes
admire,Yes
adventure,Yes
advertise,Yes
advice,Yes
afraid,Yes
afternoon,Yes
agent,Yes
agriculture,Yes
ahead,Yes
aim,Yes
aeroplane,Yes
alike,Yes
alive,Yes
aloud,Yes
altogether,Yes
ambition,Yes
amongst,Yes
amuse,Yes
anger,Yes
angle,Yes
annoy,Yes
anxiety,Yes
apart,Yes
apologize,Yes
applaud,Yes
apple,Yes
approve,Yes
arch,Yes
argue,Yes
arrange,Yes
arrest,Yes
arrow,Yes
artificial,Yes
ash,Yes
ashamed,Yes
aside,Yes
asleep,Yes
astonish,Yes
attend,Yes
attract,Yes
audience,Yes
aunt,Yes
autumn,Yes
avenue,Yes
avoid,Yes
awake,Yes
awkward,Yes
axe,Yes
baby,Yes
bag,Yes
baggage,Yes
bake,Yes
balance,Yes
band,Yes
barber,Yes
bare,Yes
bargain,Yes
barrel,Yes
basin,Yes
basket,Yes
bath,Yes
bay,Yes
beak,Yes
beam,Yes
bean,Yes
beard,Yes
beast,Yes
beat,Yes
beg,Yes
behave,Yes
bell,Yes
belt,Yes
bend,Yes
berry,Yes
bicycle,Yes
bind,Yes
birth,Yes
bite,Yes
bitter,Yes
blade,Yes
blame,Yes
bless,Yes
blind,Yes
block,Yes
boast,Yes
boil,Yes
bold,Yes
bone,Yes
border,Yes
borrow,Yes
bottle,Yes
bottom,Yes
bound,Yes
boundary,Yes
bow,Yes
bowl,Yes
brain,Yes
brass,Yes
brave,Yes
breakfast,Yes
breath,Yes
bribe,Yes
brick,Yes
broad,Yes
brown,Yes
brush,Yes
bucket,Yes
bunch,Yes
bundle,Yes
burst,Yes
bury,Yes
bus,Yes
bush,Yes
busy,Yes
butter,Yes
button,Yes
cage,Yes
cake,Yes
calculate,Yes
calm,Yes
camera,Yes
camp,Yes
canal,Yes
cap,Yes
cape,Yes
captain,Yes
card,Yes
carriage,Yes
cart,Yes
castle,Yes
cat,Yes
cattle,Yes
caution,Yes
cave,Yes
cent,Yes
century,Yes
ceremony,Yes
chain,Yes
chair,Yes
chalk,Yes
charm,Yes
cheap,Yes
cheat,Yes
check,Yes
cheer,Yes
cheese,Yes
cheque,Yes
chest,Yes
chicken,Yes
chimney,Yes
christmas,Yes
civilize,Yes
clay,Yes
clerk,Yes
clever,Yes
cliff,Yes
climb,Yes
cloth,Yes
cloud,Yes
coal,Yes
coarse,Yes
coat,Yes
coffee,Yes
coin,Yes
collar,Yes
collect,Yes
colony,Yes
comb,Yes
combine,Yes
comfort,Yes
commerce,Yes
committee,Yes
companion,Yes
compete,Yes
complain,Yes
complicated,Yes
compose,Yes
confess,Yes
confidence,Yes
confuse,Yes
congratulate,Yes
conquer,Yes
conscience,Yes
conscious,Yes
convenience,Yes
conversation,Yes
cook,Yes
cool,Yes
copper,Yes
copy,Yes
cork,Yes
corn,Yes
correct,Yes
cottage,Yes
cotton,Yes
cough,Yes
courage,Yes
cousin,Yes
cow,Yes
coward,Yes
crack,Yes
crash,Yes
cream,Yes
creep,Yes
crime,Yes
critic,Yes
crop,Yes
crown,Yes
cruel,Yes
crush,Yes
cultivate,Yes
cup,Yes
cupboard,Yes
cure,Yes
curious,Yes
curl,Yes
curse,Yes
curtain,Yes
curve,Yes
cushion,Yes
damage,Yes
damp,Yes
deaf,Yes
dear,Yes
debt,Yes
decay,Yes
deceive,Yes
decrease,Yes
deed,Yes
deer,Yes
defeat,Yes
defend,Yes
delay,Yes
delicate,Yes
delight,Yes
department,Yes
depend,Yes
descend,Yes
deserve,Yes
desk,Yes
despair,Yes
devil,Yes
diamond,Yes
dictionary,Yes
dig,Yes
dinner,Yes
dip,Yes
dirt,Yes
disappoint,Yes
discipline,Yes
discuss,Yes
disgust,Yes
dish,Yes
dismiss,Yes
disturb,Yes
ditch,Yes
dive,Yes
dollar,Yes
donkey,Yes
dot,Yes
dozen,Yes
drag,Yes
drawer,Yes
drink,Yes
drown,Yes
drum,Yes
duck,Yes
dull,Yes
dust,Yes
duty,Yes
eager,Yes
earn,Yes
earnest,Yes
ease,Yes
educate,Yes
efficient,Yes
egg,Yes
elastic,Yes
elder,Yes
elect,Yes
electricity,Yes
elephant,Yes
empire,Yes
empty,Yes
enclose,Yes
encourage,Yes
engine,Yes
entertain,Yes
envelope,Yes
envy,Yes
especial,Yes
essence,Yes
exact,Yes
examination,Yes
excess,Yes
excite,Yes
excuse,Yes
explode,Yes
explore,Yes
extra,Yes
extraordinary,Yes
extreme,Yes
fade,Yes
faint,Yes
false,Yes
fan,Yes
fancy,Yes
far,Yes
farther,Yes
fat,Yes
fate,Yes
fault,Yes
feast,Yes
feather,Yes
female,Yes
fence,Yes
fever,Yes
fierce,Yes
fight,Yes
film,Yes
firm,Yes
flag,Yes
flame,Yes
flash,Yes
flat,Yes
flavour,Yes
flesh,Yes
float,Yes
flood,Yes
flour,Yes
flow,Yes
fly,Yes
fold,Yes
fond,Yes
fool,Yes
foot,Yes
forbid,Yes
forest,Yes
forgive,Yes
fork,Yes
formal,Yes
frame,Yes
freeze,Yes
frequent,Yes
fresh,Yes
fright,Yes
fruit,Yes
fry,Yes
fun,Yes
funeral,Yes
fur,Yes
furnish,Yes
gallon,Yes
gap,Yes
garage,Yes
gas,Yes
gay,Yes
generous,Yes
girl,Yes
glory,Yes
goat,Yes
govern,Yes
grace,Yes
gradual,Yes
grain,Yes
grammar,Yes
grand,Yes
grass,Yes
grateful,Yes
grave,Yes
grease,Yes
greed,Yes
greet,Yes
grey,Yes
grind,Yes
guess,Yes
guest,Yes
guide,Yes
guilty,Yes
gun,Yes
hair,Yes
hammer,Yes
handkerchief,Yes
harbour,Yes
harm,Yes
harvest,Yes
haste,Yes
hat,Yes
hate,Yes
hay,Yes
heal,Yes
heap,Yes
heart,Yes
height,Yes
hesitate,Yes
hinder,Yes
hire,Yes
hit,Yes
hole,Yes
holiday,Yes
hollow,Yes
holy,Yes
honest,Yes
hook,Yes
horizon,Yes
hospital,Yes
host,Yes
hotel,Yes
humble,Yes
hunger,Yes
hunt,Yes
hurry,Yes
hurt,Yes
hut,Yes
ice,Yes
ideal,Yes
idle,Yes
ill,Yes
imagine,Yes
imitate,Yes
immediate,Yes
immense,Yes
important,Yes
improve,Yes
indoors,Yes
industry,Yes
inform,Yes
ink,Yes
in-law,Yes
inn,Yes
inquire,Yes
insect,Yes
inside,Yes
instant,Yes
instrument,Yes
insult,Yes
insure,Yes
interfere,Yes
international,Yes
interrupt,Yes
invent,Yes
invite,Yes
inwards,Yes
island,Yes
jaw,Yes
jealous,Yes
jewel,Yes
joint,Yes
joke,Yes
journey,Yes
joy,Yes
juice,Yes
jump,Yes
key,Yes
kick,Yes
king,Yes
kiss,Yes
kitchen,Yes
knee,Yes
kneel,Yes
knife,Yes
knock,Yes
knot,Yes
ladder,Yes
lake,Yes
lamp,Yes
latter,Yes
laugh,Yes
lazy,Yes
leaf,Yes
lean,Yes
leather,Yes
leg,Yes
lend,Yes
lessen,Yes
lesson,Yes
liberty,Yes
lid,Yes
limb,Yes
lip,Yes
liquid,Yes
literature,Yes
load,Yes
loaf,Yes
loan,Yes
lock,Yes
lodging,Yes
log,Yes
lonely,Yes
loose,Yes
lord,Yes
loud,Yes
loyal,Yes
luck,Yes
lump,Yes
lunch,Yes
lung,Yes
mad,Yes
mail,Yes
male,Yes
manage,Yes
manufacture,Yes
map,Yes
master,Yes
mat,Yes
match,Yes
meal,Yes
meanwhile,Yes
meat,Yes
mechanic,Yes
medicine,Yes
melt,Yes
mend,Yes
merchant,Yes
mercy,Yes
merry,Yes
message,Yes
mild,Yes
milk,Yes
mill,Yes
mis-,Yes
miserable,Yes
mistake,Yes
mix,Yes
model,Yes
moderate,Yes
modest,Yes
monkey,Yes
moon,Yes
moral,Yes
motion,Yes
mouse,Yes
mud,Yes
multiply,Yes
murder,Yes
mystery,Yes
nail,Yes
neat,Yes
needle,Yes
neglect,Yes
nephew,Yes
nest,Yes
net,Yes
nice,Yes
niece,Yes
noble,Yes
noise,Yes
nonsense,Yes
noon,Yes
nose,Yes
noun,Yes
nuisance,Yes
nurse,Yes
nut,Yes
oar,Yes
obey,Yes
ocean,Yes
offend,Yes
omit,Yes
onto,Yes
opposite,Yes
orange,Yes
organ,Yes
origin,Yes
ornament,Yes
overcome,Yes
pack,Yes
pad,Yes
pair,Yes
pale,Yes
pan,Yes
parcel,Yes
pardon,Yes
parent,Yes
park,Yes
particular,Yes
passage,Yes
paste,Yes
path,Yes
patient,Yes
patriotic,Yes
pattern,Yes
pause,Yes
paw,Yes
pearl,Yes
peculiar,Yes
pen,Yes
pencil,Yes
penny,Yes
per,Yes
perform,Yes
persuade,Yes
pet,Yes
photograph,Yes
pick,Yes
pig,Yes
pigeon,Yes
pile,Yes
pin,Yes
pinch,Yes
pink,Yes
pint,Yes
pipe,Yes
pity,Yes
plain,Yes
plaster,Yes
plate,Yes
plenty,Yes
plough,Yes
plural,Yes
pocket,Yes
poet,Yes
poison,Yes
police,Yes
polish,Yes
polite,Yes
pool,Yes
postpone,Yes
pot,Yes
pour,Yes
powder,Yes
practice,Yes
praise,Yes
pray,Yes
preach,Yes
precious,Yes
prefer,Yes
prejudice,Yes
president,Yes
pretend,Yes
pride,Yes
priest,Yes
prison,Yes
prize,Yes
probable,Yes
procession,Yes
profession,Yes
profit,Yes
prompt,Yes
pronounce,Yes
property,Yes
proud,Yes
pump,Yes
punctual,Yes
punish,Yes
pupil,Yes
pure,Yes
purple,Yes
push,Yes
puzzle,Yes
qualify,Yes
quantity,Yes
quarrel,Yes
quart,Yes
queen,Yes
question,Yes
quick,Yes
rabbit,Yes
radio,Yes
rail,Yes
rain,Yes
rake,Yes
rapid,Yes
rare,Yes
rat,Yes
raw,Yes
ray,Yes
razor,Yes
recommend,Yes
refer,Yes
reflect,Yes
refresh,Yes
regret,Yes
rejoice,Yes
relieve,Yes
remedy,Yes
remind,Yes
rent,Yes
repair,Yes
replace,Yes
reproduce,Yes
republic,Yes
reputation,Yes
request,Yes
rescue,Yes
reserve,Yes
resign,Yes
resist,Yes
responsible,Yes
restaurant,Yes
retire,Yes
revenge,Yes
review,Yes
reward,Yes
ribbon,Yes
rice,Yes
rid,Yes
ripe,Yes
risk,Yes
rival,Yes
roar,Yes
roast,Yes
rob,Yes
rock,Yes
rod,Yes
roof,Yes
root,Yes
rope,Yes
rot,Yes
row,Yes
royal,Yes
rub,Yes
rubber,Yes
rubbish,Yes
rude,Yes
rug,Yes
ruin,Yes
rust,Yes
sacred,Yes
sacrifice,Yes
sad,Yes
saddle,Yes
sake,Yes
salary,Yes
sale,Yes
salt,Yes
sample,Yes
sand,Yes
satisfy,Yes
sauce,Yes
saucer,Yes
scatter,Yes
scent,Yes
scissors,Yes
scold,Yes
scorn,Yes
scrape,Yes
scratch,Yes
screen,Yes
screw,Yes
search,Yes
seed,Yes
seldom,Yes
sentence,Yes
severe,Yes
sew,Yes
shade,Yes
shallow,Yes
shame,Yes
sharp,Yes
sheep,Yes
sheet,Yes
shelf,Yes
shell,Yes
shelter,Yes
shield,Yes
shilling,Yes
ship,Yes
shirt,Yes
shock,Yes
shop,Yes
shout,Yes
shower,Yes
shut,Yes
sick,Yes
signal,Yes
silk,Yes
sincere,Yes
sing,Yes
sink,Yes
skin,Yes
skirt,Yes
slave,Yes
slide,Yes
slip,Yes
slope,Yes
smell,Yes
smoke,Yes
smooth,Yes
snake,Yes
snow,Yes
soap,Yes
socks,Yes
soldier,Yes
solemn,Yes
solid,Yes
solve,Yes
sore,Yes
sorry,Yes
soul,Yes
soup,Yes
sour,Yes
sow,Yes
spade,Yes
spare,Yes
spell,Yes
spill,Yes
spin,Yes
spit,Yes
splendid,Yes
split,Yes
spoil,Yes
spoon,Yes
sport,Yes
staff,Yes
stain,Yes
stairs,Yes
stamp,Yes
star,Yes
steady,Yes
steam,Yes
steep,Yes
steer,Yes
stem,Yes
stiff,Yes
sting,Yes
stir,Yes
stockings,Yes
stomach,Yes
stove,Yes
strap,Yes
straw,Yes
strict,Yes
string,Yes
strip,Yes
stripe,Yes
stuff,Yes
stupid,Yes
suck,Yes
sugar,Yes
suit,Yes
supper,Yes
suspect,Yes
swallow,Yes
swear,Yes
sweat,Yes
sweep,Yes
swell,Yes
swim,Yes
swing,Yes
sword,Yes
sympathy,Yes
tail,Yes
tailor,Yes
tall,Yes
tame,Yes
tap,Yes
tax,Yes
taxi,Yes
tea,Yes
telegraph,Yes
telephone,Yes
temper,Yes
temperature,Yes
temple,Yes
tempt,Yes
tend,Yes
tender,Yes
tent,Yes
thanks,Yes
theatre,Yes
thick,Yes
thief,Yes
thin,Yes
thirst,Yes
thorn,Yes
thorough,Yes
thread,Yes
threaten,Yes
throat,Yes
thumb,Yes
thunder,Yes
ticket,Yes
tide,Yes
tidy,Yes
tie,Yes
tight,Yes
till,Yes
tin,Yes
tip,Yes
tire,Yes
title,Yes
tobacco,Yes
toe,Yes
tomorrow,Yes
ton,Yes
tongue,Yes
tonight,Yes
tool,Yes
tooth,Yes
tough,Yes
tour,Yes
towel,Yes
tower,Yes
toy,Yes
track,Yes
translate,Yes
trap,Yes
tray,Yes
treasure,Yes
treat,Yes
tremble,Yes
trial,Yes
tribe,Yes
trick,Yes
trip,Yes
true,Yes
trunk,Yes
tube,Yes
tune,Yes
twist,Yes
ugly,Yes
umbrella,Yes
uncle,Yes
unit,Yes
unity,Yes
universe,Yes
upper,Yes
upright,Yes
upset,Yes
upwards,Yes
urge,Yes
vain,Yes
veil,Yes
verb,Yes
verse,Yes
vessel,Yes
victory,Yes
violent,Yes
virtue,Yes
vowel,Yes
voyage,Yes
wage,Yes
waist,Yes
wake,Yes
wander,Yes
warm,Yes
wash,Yes
wax,Yes
wealth,Yes
weapon,Yes
weather,Yes
weave,Yes
weed,Yes
weigh,Yes
wet,Yes
wheat,Yes
wheel,Yes
whip,Yes
whisper,Yes
whistle,Yes
whole,Yes
wicked,Yes
widow,Yes
wine,Yes
wipe,Yes
wire,Yes
witness,Yes
wool,Yes
worm,Yes
worry,Yes
worship,Yes
wound,Yes
wrap,Yes
wreck,Yes
wrist,Yes
yard,Yes
yield,Yes
zero,Yes
